id1,id2
395,1768
1234,12408
1341,8497
1093,13748
1719,12857
596,14870
1906,7801
595,20844
1785,11404
2104,2964
723,12996
469,20646
475,18530
2156,4510
1973,3591
1535,1091
2508,5039
932,6452
524,7631
1559,4509
1267,4233
2122,4433
538,791
1386,17537
1467,13593
1844,9692
2244,482
1154,13246
1923,20241
2344,4785
2041,9551
1642,11045
2333,18201
1479,1767
1965,14804
1502,5286
1440,19655
2325,20694
1418,7249
2141,6966
314,8871
425,8535
2107,1254
1611,10451
247,19032
89,3270
1316,7784
499,5578
1629,6289
1194,4494
331,16953
640,7372
1008,11117
2202,17199
1146,4788
2409,6809
1397,2439
2197,19485
604,21732
1937,18141
2230,14756
2220,246
318,1083
247,13590
1316,15123
2232,17840
1108,12701
710,1097
89,18981
786,10846
2089,22026
1317,4507
1950,17303
1705,16232
337,20175
195,20940
2015,11741
2210,17163
1698,16579
1695,20398
2095,15248
1704,17702
432,18465
854,6748
1721,20523
2417,5900
236,21784
726,16801
397,7150
1209,18171
222,16625
541,9384
1164,6863
2093,13768
1696,17275
1288,15034
1335,8619
34,11684
1885,17579
1529,16917
1935,9579
837,8740
1209,3255
1719,8846
1652,13805
2406,18333
1281,7638
2483,19120
863,5783
92,17688
865,11895
348,14459
740,11688
484,9131
1002,6639
560,20714
532,19818
322,20698
2365,16367
1427,10693
551,19540
81,6527
2018,16794
320,21484
2354,13477
1125,15648
115,9224
1238,6975
109,12442
2005,19521
1791,19801
2379,11831
482,14854
35,3068
1483,8567
1523,21030
464,11441
585,966
1023,12117
2528,13283
562,18153
1143,14278
646,6761
1608,13173
2482,6886
2408,12312
1909,20112
1695,11027
16,4283
377,9390
927,4427
2517,20310
1109,10673
455,1892
1371,5173
1578,13541
2409,5519
2520,2669
1263,12735
1500,4638
2370,20053
2441,6644
1928,19027
1749,17508
1360,1904
206,10518
858,7348
1861,5561
503,11436
1803,14925
477,2718
2543,6691
150,8944
1775,18403
1039,5011
1110,6058
1031,10556
2156,17865
2015,9457
1039,19036
2532,19977
40,10873
1844,4901
2148,2888
921,3247
743,8236
1618,2749
586,14868
1300,14224
1883,10855
2014,9227
66,7157
481,377
2240,327
1012,13414
612,8430
1178,20812
192,1244
545,13665
462,18390
738,6760
543,13160
1218,5250
1856,12475
515,14882
70,14642
87,7611
1892,15305
2512,21504
262,5193
976,13423
2057,3068
2200,18139
2361,7250
2191,2311
1682,13298
194,19881
1219,5268
8,1304
21,16838
1064,3146
100,4521
2267,1617
1150,9482
1505,4818
862,11943
1718,17262
2316,9549
636,7146
4,4379
1530,1442
2217,17495
2134,8991
448,13175
79,12348
1071,18621
1770,5883
1135,8790
202,6829
1316,21113
1401,14944
811,1481
2509,11583
65,8392
416,17244
54,17893
1067,8298
556,19010
830,8898
108,12091
2211,16561
1149,16757
984,18365
2245,595
1152,18331
30,6032
95,9052
742,11538
1237,7616
376,5042
1727,18464
1864,21326
1395,19581
87,11618
261,3778
2516,4425
158,16206
2539,2280
2410,11715
1094,5463
661,10274
2117,14496
829,10888
842,7504
1657,14170
1631,10852
1902,10883
2217,20676
2125,11565
1739,20133
1945,829
2227,8671
42,6817
2112,3378
1199,14824
2472,19284
1773,2223
2072,8815
650,1428
1066,10601
497,4497
2070,21449
1184,11289
2296,21435
2540,10706
876,4227
2022,17375
2026,2699
1549,9246
1981,4279
1894,11121
1828,2579
1622,16059
873,15269
1633,20071
918,17318
590,16954
1000,4924
1954,11439
449,13174
1210,14110
1610,2510
2256,14016
2027,3204
1462,3781
1512,4520
1321,885
945,14178
149,16351
2193,3145
1074,2523
1414,2789
626,18444
700,4284
933,2814
173,1153
195,6877
975,19754
766,15416
504,10207
1415,2486
1834,9343
1082,21588
819,980
2098,21458
1120,3472
2365,17916
1350,12192
1985,1121
2187,13584
872,20289
2345,6971
721,13399
1072,16127
1440,1637
91,21918
470,19258
2246,3567
70,21810
706,16537
66,11130
700,3857
2073,4160
600,557
529,21348
2413,7234
1603,19808
1037,10881
1734,21813
833,4598
2094,16312
86,9497
2108,8359
1211,1325
121,14796
216,6602
1933,9096
1363,17389
821,6299
2038,21544
599,3627
2477,6956
1366,18373
2034,18680
2469,10814
1269,4381
2089,17264
55,6573
1596,13391
1910,11285
2497,12025
185,2960
417,19476
2423,8664
145,7971
2053,6287
1851,17489
2238,1697
414,285
1474,3251
1940,20178
1249,16299
2142,11049
1969,10525
303,16808
2124,1795
888,12784
951,15943
1030,16792
390,10544
1326,10508
228,2203
1253,9636
2524,10366
1318,20507
785,12734
1348,12432
804,4122
2260,14835
531,18532
1084,20645
936,14801
2502,4363
160,5665
770,6363
2225,14687
2140,102
338,6116
578,19368
2218,19468
812,454
2274,5256
1989,2477
679,8963
1485,15559
470,2721
1658,16333
94,8351
1543,10128
962,14318
2060,5735
20,17430
2040,7444
1142,9254
1863,15435
1247,17192
1869,4495
760,8382
726,16278
223,17535
2550,19120
1667,6195
903,6662
1550,18949
724,1690
2150,4785
904,16990
282,7825
383,12583
1469,2294
226,12628
1452,4720
1910,20494
323,9991
1179,18154
325,8520
2419,7680
1592,3206
548,9296
174,1250
1964,6962
1209,16936
361,19151
2463,8176
2137,19007
785,21197
1814,1608
1814,3254
16,17365
513,9061
1642,15010
379,21691
1339,17544
578,21737
512,1393
2184,10974
2031,13168
219,5047
1973,3594
476,20393
1476,8651
1356,560
899,7384
2038,8520
782,17484
1368,12147
1603,10609
152,692
811,11429
1691,4227
2253,16784
1513,20845
311,4721
1687,20039
667,12515
899,11344
1717,17397
1138,4430
1436,7325
817,11999
708,11830
1687,17666
2479,16863
2168,14881
992,12313
2077,18298
1852,13349
2237,1663
1792,19539
653,7446
1876,9387
1036,21948
1762,4577
2152,7339
82,17195
1201,160
2544,2534
2081,16296
2019,11228
546,7625
1559,12853
1167,3904
232,10437
2436,20420
1939,19139
2268,2528
399,16515
1476,12655
1105,1398
863,11819
1110,8092
1458,8347
2185,11690
1467,15576
148,21193
1529,812
1467,11642
849,3154
1838,13678
2397,18102
524,3627
59,21240
1778,3751
1759,13846
1220,14407
453,16646
772,5518
1278,1881
1933,9017
971,6931
165,18938
781,14279
2102,15844
346,8387
2164,8470
121,13523
2357,5528
192,11198
1010,781
400,714
708,8043
1953,1770
2118,14558
2200,20396
616,17520
1299,8456
2382,3483
1685,17949
798,6509
1886,2011
1306,2559
1878,2928
1616,12974
2097,2975
1551,11327
624,14736
501,12545
1075,20741
1842,2327
2090,7049
1977,12094
26,6985
1188,5480
508,11954
1833,433
2161,9859
1590,2646
2165,3695
58,13303
1361,995
1186,11040
1931,15376
2064,6309
137,2577
1455,10761
980,9554
105,11792
149,18937
1392,2977
2157,14546
2051,21913
361,11567
109,21710
2551,15808
182,12013
2195,18385
694,2612
539,17175
871,14931
1296,6406
352,10049
2160,17900
1404,21316
2329,16353
682,20252
1793,8495
1561,19670
946,3104
1627,13620
476,12747
2084,14540
1283,1241
839,716
2088,11144
1406,14895
67,3669
2393,15894
466,7305
6,10423
673,2945
605,15830
262,3239
568,12174
1166,3696
298,15654
1752,20118
310,19292
939,15253
1264,22052
720,6973
2195,5102
659,21943
2521,15684
2159,9027
1433,6231
789,14902
1716,20592
736,12274
2277,12761
653,6709
1987,6414
177,4855
1015,7029
735,5992
2194,5683
718,20107
1517,889
2380,265
2030,14036
2480,10670
1461,14499
2255,346
1759,9790
146,15892
230,13259
937,14005
1830,19354
1875,14195
471,10875
2469,16833
2156,4319
1976,8181
414,1678
2074,15480
2055,7602
695,20007
1574,5416
1944,15781
396,100
387,4059
1743,15528
2079,3895
1553,9157
640,10129
1113,10801
2380,10268
2318,15826
2134,10435
663,17259
322,4630
633,13150
1754,16221
2120,20315
1565,6915
324,1245
1190,2760
129,10641
926,21758
1790,11779
1457,18232
2297,12893
430,3274
907,3470
1403,20184
1032,13439
10,2457
530,17880
908,13995
1511,19043
31,11089
1523,1026
557,6722
2361,17906
1889,6730
1350,4660
160,9710
96,10967
694,105
7,9016
2151,21344
1025,12675
135,3741
1196,5365
1378,12162
1094,16870
1974,3156
1230,5843
1908,10482
347,8305
751,10531
715,16479
1292,17830
1929,13790
689,4784
576,1129
1984,6914
685,17574
1998,12452
649,4760
1490,2078
2439,2862
2168,17734
1078,11885
1661,11173
601,12882
1176,19246
1398,20806
260,10735
1369,12443
1728,14919
1526,12544
2341,3759
454,10900
57,21965
2027,18649
893,21097
2537,12334
295,19912
1293,18603
1346,14258
1257,20412
277,15427
179,19150
1141,9098
1624,6593
1801,256
102,2594
2514,20427
357,21592
1424,9728
1798,6005
1952,20444
1729,12126
1905,15685
218,5275
625,4040
329,14370
1900,5459
1644,2780
1449,7903
331,1600
1195,14917
1507,16667
724,9676
540,11543
688,20213
1641,9565
1234,18429
917,8911
2020,16544
1399,4587
1607,18688
523,14015
265,16641
212,401
1981,1503
1415,11940
1488,3574
2486,8096
2428,1157
1563,12170
2062,353
1938,8501
2007,13922
273,3966
2261,13723
2214,21799
1475,3962
1225,8071
1499,5235
598,22044
601,4692
531,6616
304,19300
1381,20891
2327,19269
1961,2285
1884,19124
1247,21595
705,18207
2189,2672
1777,15490
1354,6820
2022,17452
492,19958
2191,21662
1126,8268
920,17372
993,19593
693,18705
2498,19526
2094,11401
590,15496
906,19637
139,11469
169,20287
2332,21977
2019,5208
1139,9086
997,2751
1592,17448
1904,10675
180,8546
2119,20622
833,19557
365,9533
2330,14074
1281,17950
2442,21374
308,10210
1510,9333
1811,578
802,8932
187,1929
1920,544
2222,11341
300,4645
881,5987
2048,8525
164,9825
1357,11270
1208,6899
57,9165
259,10647
2294,6549
2005,1748
2462,13244
559,5884
20,13058
668,7080
2375,3052
938,19776
1243,2466
1137,17384
267,2950
519,2139
1560,14554
560,21311
799,6374
542,9190
132,5596
1096,2703
2025,18711
2345,14945
2340,2237
1038,12169
2100,12942
2000,20190
2298,10870
655,14490
1536,19000
739,18198
1300,15463
2029,12892
2503,16033
287,18627
1896,7661
1287,16536
529,77
2343,639
223,1355
2155,11212
2008,20462
1579,3324
1580,11461
1993,1275
2388,20822
156,3447
2143,5921
1312,14761
589,20109
1777,16438
1855,10031
1252,2074
1011,15004
1833,13397
2478,4885
389,1451
2192,16174
1937,11296
2401,10788
303,16642
1947,1316
2101,20732
1988,10906
956,4703
1664,10772
482,987
746,11811
935,13149
454,4893
200,5512
16,17811
637,9152
1822,10712
2541,5176
1540,4757
1514,1593
335,10662
2366,8619
2335,10109
1482,4163
2197,17367
1370,14865
240,10618
466,15279
1478,2433
657,10559
564,18916
670,12491
696,12570
706,12896
580,15016
806,14295
950,7347
2350,18167
875,5645
1302,6495
220,8697
103,11760
1442,15285
1509,19515
2395,13252
2085,8988
1325,913
1201,19355
1262,8267
1459,16056
1862,18358
1733,5721
2017,12007
2328,8545
134,18759
712,7672
2267,13319
371,15072
2346,15062
316,7706
2137,4706
1932,11215
1045,3010
940,3616
397,17849
505,15432
618,19541
528,486
2276,19663
456,19348
1772,236
551,2556
1477,11084
1081,14455
1989,9475
576,5076
1156,14874
802,13030
27,538
942,2806
388,3170
1707,17027
2504,20052
539,10462
711,2946
2275,357
1091,16635
1654,1650
2212,4647
592,5595
2398,10118
638,15921
987,6670
1413,16819
427,14869
2001,14203
2372,10924
1958,17571
2032,9534
1486,1376
138,21121
2342,7894
363,3236
664,7136
1846,186
1419,14716
313,13300
2523,3325
2463,14118
416,20386
1187,16093
2345,4985
1835,16332
2306,10516
2126,16073
1625,5014
2369,15352
1191,10707
2166,21077
193,11132
1546,21375
1867,14360
1231,4668
851,8444
98,15905
2549,19118
2258,8357
1210,9718
2336,8280
1194,5593
285,2676
2511,11626
903,18251
1160,13110
1346,20146
1468,16060
998,4380
1767,5889
1636,20244
149,16399
2265,19008
1673,9028
2489,5636
50,8097
974,21569
1585,11476
164,124
750,15431
2075,17804
363,16308
1146,2868
1181,4538
2180,18388
183,7400
681,844
131,9891
1006,11658
546,7623
2143,13935
1967,657
849,603
1777,13180
2406,8669
330,7315
473,15368
1425,8193
2460,7487
203,2448
753,7076
1198,4815
1638,1271
631,12818
1438,11705
1572,6999
691,12897
1762,12648
909,13024
1804,6873
549,3415
2218,18301
1701,13660
43,173
1709,16227
2249,8369
2254,11266
2484,11842
1842,18624
1619,6365
834,18900
1564,431
2194,9731
129,2702
1103,7854
1154,9238
2266,18699
894,11621
447,5775
2166,18478
168,15438
1615,11351
1401,18728
1614,17219
476,782
716,7851
1122,14110
397,7145
1847,15548
1653,14385
429,6991
896,12464
1593,16659
127,1556
771,11224
1714,21094
1695,3794
6,20933
1474,3249
1245,10289
1672,20795
1969,21512
1706,14646
1702,18550
1008,18143
1715,18513
2475,14438
1988,16253
615,22046
2147,6471
1700,17104
899,15336
2133,7359
1698,21668
2327,1682
2231,12950
1656,10362
458,8019
